Re,seg_id,s,x,y,z,curvature,max_WSS,argmax_surface_pt_id
200,66,54.67945919421201,-5.737840175628662,8.378499984741211,-2.844670057296753,0.5900369882583618,0.018890743298647514,27091
200,67,55.50499881388654,-5.344009876251221,7.710760116577148,-2.560879945755005,0.42013999819755554,0.018015174884474683,27160
200,68,56.33163964012374,-5.017640113830566,6.955719947814941,-2.478830099105835,0.3239099979400635,0.01767654682882719,15490
200,69,57.16047081794922,-4.766049861907959,6.168580055236816,-2.5426599979400635,0.21583899855613708,0.01730611796005112,15331
200,70,57.990624176712764,-4.5806097984313965,5.373569965362549,-2.6934099197387695,0.16353200376033783,0.01689021034182404,30509
200,71,58.82129479685547,-4.4488301277160645,4.576260089874268,-2.8856201171875,0.10580699890851974,0.016866670005881726,5111
200,72,59.65213676257265,-4.359389781951904,3.7751200199127197,-3.0868000984191895,0.07809329777956009,0.01691133764114298,20843
200,73,60.482991119405085,-4.302830219268799,2.9672200679779053,-3.272320032119751,0.05338750034570694,0.016137991878393484,15037
200,74,61.31375836162845,-4.2709197998046875,2.150599956512451,-3.421610116958618,0.05183279886841774,0.015726033423711955,27579
200,75,62.14437155840476,-4.255879878997803,1.3255399465560913,-3.516309976577759,0.06902839988470078,0.016058544286335776,27564
200,76,62.97479990485258,-4.249859809875488,0.4954780042171478,-3.5402300357818604,0.09662120044231415,0.01613209473599377,27593
200,77,63.80505770220977,-4.244480133056641,-0.33261099457740784,-3.4804999828338623,0.11671199649572372,0.01694380731885199,20862
200,78,64.6352138248602,-4.23045015335083,-1.1487499475479126,-3.329240083694458,0.14635400474071503,0.01757766698352989,32031
200,79,65.4653297462275,-4.197169780731201,-1.9412200450897217,-3.0843400955200195,0.16434599459171295,0.01844891994058845,20946
200,80,66.29548198428112,-4.132160186767578,-2.6977999210357666,-2.7489099502563477,0.18637900054454803,0.019640223563830283,30476
200,81,67.12569501672249,-4.020390033721924,-3.405819892883301,-2.330019950866699,0.19668200612068176,0.020375267622109,8785
200,82,67.95605094151607,-3.8440001010894775,-4.051119804382324,-1.8381199836730957,0.2043599933385849,0.02034946025616561,26443
200,83,68.78617544016466,-3.5784099102020264,-4.611730098724365,-1.2864999771118164,0.204026997089386,0.01915201128249324,26426
200,84,69.61553763086614,-3.206480026245117,-5.067039966583252,-0.7015190124511719,0.1957949995994568,0.017010174232237413,22156
200,85,70.44416188767818,-2.727829933166504,-5.406000137329102,-0.11618299782276154,0.18579399585723877,0.013364481728730655,26524
200,86,71.27281857377935,-2.1559300422668457,-5.630040168762207,0.4400619864463806,0.16578100621700287,0.010974639977585738,388
200,87,72.10205628895535,-1.513800024986267,-5.755720138549805,0.9494820237159729,0.15032300353050232,0.0105408778411777,2965
200,88,72.93196062565322,-0.8242380023002625,-5.806739807128906,1.4084399938583374,0.12590399384498596,0.010688850812810576,14188
200,89,73.76236889256256,-0.10471799969673157,-5.805970191955566,1.823009967803955,0.10193999856710434,0.010786021812873298,7832
200,90,74.59308619981265,0.6328340172767639,-5.771349906921387,2.2036800384521484,0.08692629635334015,0.010733431270703465,19869
200,91,75.42396538975402,1.380329966545105,-5.715139865875244,2.562079906463623,0.06646910309791565,0.010638893586637754,19855
200,92,76.25492228877381,2.1319000720977783,-5.644820213317871,2.909480094909668,0.05435929819941521,0.010227509381184973,7855
200,93,77.08588300358493,2.8828299045562744,-5.563920021057129,3.255970001220703,0.038513798266649246,0.01022301786282864,19743
